h3_10_id,cnt_uuid
8a2f5a34514ffff,1
8a2f5a341d27fff,1
8a2f5a341877fff,257
8a2f5a3617b7fff,2
8a2f5a36ab57fff,2
8a2f5a36bd77fff,2
8a2f5a363987fff,258
8a2f5a3632f7fff,3
8a2f5a363247fff,3
8a2f5a3614effff,4
8a2f5a34c0d7fff,4
8a2f5a34534ffff,4
8a2f5a3614dffff,4
8a2f5a345da7fff,260
8a2f5a34540ffff,260
8a2f5a345b47fff,5
8a2f5a34e827fff,5
8a2f5a34c68ffff,5
8a2f5a3614cffff,5
8a2f5a3686dffff,6
8a2f5a36ab6ffff,6
8a2f5a341287fff,6
8a2f5a345b77fff,6
8a2f5a34c0e7fff,6
8a2f5a36b457fff,6
8a2f5a3412d7fff,6
8a2f5a36325ffff,6
8a2f5a36a91ffff,262
8a2f5a3684a7fff,7
8a2f5a3638cffff,7
8a2f5a34c787fff,7
8a2f5a344b67fff,7
8a2f5a36e397fff,7
8a2f5a36e337fff,7
8a2f5a363237fff,7
8a2f5a3614c7fff,7
8a2f5a36ad87fff,7
8a2f5a36ec2ffff,7
8a2f5a36a85ffff,7
8a2f5a34c627fff,7
8a2f5a36a297fff,7
8a2f5a34542ffff,263
8a2f5a36366ffff,8
8a2f5a34e977fff,8
8a2f5a345b67fff,8
8a2f5a34e81ffff,8
8a2f5a3632a7fff,8
8a2f5a3638c7fff,8
8a2f5a363777fff,8
8a2f5a341197fff,8
8a2f5a36bd6ffff,8
8a2f5a36358ffff,8
8a2f5a34c72ffff,8
8a2f5a341c6ffff,8
8a2f5a34c867fff,8
8a2f5a36aa67fff,8
8a2f5a36aa47fff,8
8a2f5a34c197fff,8
8a2f5a363607fff,8
8a2f5a3630dffff,8
8a2f5a36aa77fff,8
8a2f5a363067fff,8
8a2f5a3617a7fff,8
8a2f5a36e417fff,9
8a2f5a34586ffff,9
8a2f5a344aaffff,9
8a2f5a34c6affff,9
8a2f5a36aa2ffff,9
8a2f5a34c7affff,9
8a2f5a34c60ffff,9
8a2f5a36ab67fff,9
8a2f5a34c0dffff,9
8a2f5a3412a7fff,9
8a2f5a344b77fff,9
8a2f5a341a6ffff,9
8a2f5a36842ffff,9
8a2f5a36a22ffff,9
8a2f5a36e0f7fff,9
8a2f5a36a547fff,9
8a2f5a34c6a7fff,9
8a2f5a36ad9ffff,9
8a2f5a344977fff,9
8a2f5a36160ffff,9
8a2f5a36159ffff,265
8a2f5a36bdb7fff,265
8a2f5a34c4b7fff,10
8a2f5a36a7a7fff,10
8a2f5a36e2a7fff,10
8a2f5a36314ffff,10
8a2f5a36e04ffff,10
8a2f5a34c0affff,10
8a2f5a36ad97fff,10
8a2f5a368697fff,10
8a2f5a36a01ffff,10
8a2f5a363517fff,10
8a2f5a36aa9ffff,10
8a2f5a36a58ffff,266
8a2f5a34e94ffff,11
8a2f5a345b6ffff,11
8a2f5a36e38ffff,11
8a2f5a363257fff,11
