h3_10_id,cnt_uuid
8a2f5a341597fff,256
8a2f5a3614c7fff,1
8a2f5a341d27fff,2
8a2f5a3617b7fff,2
8a2f5a36bd6ffff,3
8a2f5a3614dffff,3
8a2f5a3614effff,3
8a2f5a345b77fff,3
8a2f5a36a82ffff,3
8a2f5a34514ffff,3
8a2f5a368d1ffff,259
8a2f5a34c867fff,4
8a2f5a3686dffff,4
8a2f5a36e99ffff,4
8a2f5a363247fff,4
8a2f5a341827fff,260
8a2f5a36ab57fff,5
8a2f5a34431ffff,261
8a2f5a36a837fff,261
8a2f5a36a85ffff,6
8a2f5a34c0e7fff,6
8a2f5a3632f7fff,6
8a2f5a34c627fff,6
8a2f5a341c6ffff,6
8a2f5a368c27fff,262
8a2f5a34c0d7fff,7
8a2f5a36ab6ffff,7
8a2f5a3614cffff,7
8a2f5a36bd77fff,7
8a2f5a363437fff,7
8a2f5a34c68ffff,7
8a2f5a36bc5ffff,8
8a2f5a363517fff,8
8a2f5a34e8f7fff,8
8a2f5a36aa47fff,8
8a2f5a34e977fff,8
8a2f5a345b67fff,8
8a2f5a36a037fff,8
8a2f5a34086ffff,8
8a2f5a36b457fff,8
8a2f5a34c01ffff,8
8a2f5a3617a7fff,8
8a2f5a34e827fff,9
8a2f5a34e81ffff,9
8a2f5a34c50ffff,9
8a2f5a36e337fff,9
8a2f5a36bd67fff,9
8a2f5a34111ffff,9
8a2f5a34e867fff,9
8a2f5a36315ffff,9
8a2f5a34c0dffff,9
8a2f5a36e2a7fff,9
8a2f5a341557fff,9
8a2f5a34192ffff,265
8a2f5a36e167fff,10
8a2f5a36a297fff,10
8a2f5a34c81ffff,10
8a2f5a341c4ffff,10
8a2f5a36ec6ffff,10
8a2f5a36358ffff,10
8a2f5a344b77fff,10
8a2f5a36e8f7fff,10
8a2f5a34534ffff,10
8a2f5a3684a7fff,10
8a2f5a3684affff,10
8a2f5a34c6affff,10
8a2f5a345da7fff,266
8a2f5a34185ffff,266
8a2f5a345457fff,522
8a2f5a3412a7fff,11
8a2f5a36a187fff,11
8a2f5a341607fff,11
8a2f5a345a97fff,11
8a2f5a36a11ffff,11
8a2f5a36ad1ffff,11
8a2f5a36b497fff,11
8a2f5a3684b7fff,11
8a2f5a36e417fff,11
8a2f5a363a27fff,11
