h3_10_id,cnt_uuid
8a2f5a344217fff,256
8a2f5a3614effff,1
8a2f5a36ab57fff,1
8a2f5a341d27fff,1
8a2f5a363247fff,1
8a2f5a345197fff,257
8a2f5a343b6ffff,257
8a2f5a3632f7fff,2
8a2f5a34c01ffff,2
8a2f5a3614c7fff,2
8a2f5a36bd77fff,3
8a2f5a3617a7fff,3
8a2f5a345b77fff,3
8a2f5a34514ffff,3
8a2f5a3617b7fff,3
8a2f5a34e81ffff,3
8a2f5a34c60ffff,4
8a2f5a34e977fff,4
8a2f5a34c0d7fff,5
8a2f5a34c197fff,5
8a2f5a34e8f7fff,5
8a2f5a341c6ffff,5
8a2f5a36a82ffff,5
8a2f5a3631a7fff,261
8a2f5a343b57fff,6
8a2f5a34e807fff,6
8a2f5a3614cffff,6
8a2f5a363287fff,6
8a2f5a34c0e7fff,6
8a2f5a36bd6ffff,6
8a2f5a3412a7fff,6
8a2f5a3686dffff,6
8a2f5a36e2a7fff,6
8a2f5a363b17fff,6
8a2f5a36e397fff,6
8a2f5a36a5affff,262
8a2f5a34182ffff,262
8a2f5a36b497fff,7
8a2f5a344b67fff,7
8a2f5a34c867fff,7
8a2f5a36a2f7fff,7
8a2f5a344a8ffff,7
8a2f5a36322ffff,7
8a2f5a36ec6ffff,7
8a2f5a345b87fff,7
8a2f5a3638cffff,7
8a2f5a345b47fff,7
8a2f5a36a7a7fff,7
8a2f5a34c94ffff,7
8a2f5a345b67fff,7
8a2f5a363747fff,7
8a2f5a36e337fff,7
8a2f5a34556ffff,263
8a2f5a36144ffff,263
8a2f5a36a297fff,8
8a2f5a363197fff,8
8a2f5a3638c7fff,8
8a2f5a3630dffff,8
8a2f5a363777fff,8
8a2f5a3684a7fff,8
8a2f5a345827fff,8
8a2f5a36b457fff,8
8a2f5a36e40ffff,8
8a2f5a34c0dffff,8
8a2f5a34c72ffff,8
8a2f5a34c477fff,8
8a2f5a363067fff,8
8a2f5a3616b7fff,8
8a2f5a36bc5ffff,8
8a2f5a3614dffff,8
8a2f5a36aa37fff,8
8a2f5a34534ffff,9
8a2f5a36e38ffff,9
8a2f5a36a547fff,9
8a2f5a341a0ffff,9
8a2f5a34c497fff,9
8a2f5a344b0ffff,9
8a2f5a34536ffff,9
8a2f5a34c6f7fff,9
8a2f5a36bd1ffff,9
8a2f5a34c68ffff,9
8a2f5a36ad97fff,9
8a2f5a36e0f7fff,9
8a2f5a344a87fff,9
8a2f5a345b27fff,9
8a2f5a345a97fff,9
8a2f5a3632a7fff,9
8a2f5a363237fff,9
8a2f5a36a417fff,9
8a2f5a36358ffff,9
8a2f5a36e917fff,265
8a2f5a34c62ffff,10
8a2f5a36336ffff,10
8a2f5a36a84ffff,10
8a2f5a36e70ffff,10
8a2f5a34c637fff,10
8a2f5a34c7affff,10
8a2f5a36e137fff,10
8a2f5a36ec77fff,10
8a2f5a3633a7fff,10
8a2f5a3412f7fff,10
8a2f5a34e867fff,10
8a2f5a36325ffff,10
8a2f5a363517fff,10
8a2f5a341627fff,10
8a2f5a34e957fff,10
8a2f5a36381ffff,10
8a2f5a344b77fff,10
8a2f5a344aaffff,10
8a2f5a36ab6ffff,10
8a2f5a34c4b7fff,10
8a2f5a36145ffff,10
8a2f5a363677fff,10
8a2f5a36a447fff,10
8a2f5a36aa67fff,10
8a2f5a36e21ffff,10
8a2f5a34c627fff,10
8a2f5a36ad9ffff,11
8a2f5a345277fff,11
