h3_10_id,cnt_uuid
8a2f5a3416b7fff,256
8a2f5a344ab7fff,256
8a2f5a363c47fff,256
8a2f5a34c0c7fff,1
8a2f5a34514ffff,1
8a2f5a36ab57fff,1
8a2f5a36e61ffff,257
8a2f5a345daffff,257
8a2f5a3617b7fff,2
8a2f5a36a82ffff,2
8a2f5a36b457fff,3
8a2f5a36a02ffff,259
8a2f5a344257fff,259
8a2f5a345b47fff,4
8a2f5a36e82ffff,260
8a2f5a341197fff,5
8a2f5a3614effff,5
8a2f5a3614cffff,5
8a2f5a34c197fff,5
8a2f5a341287fff,6
8a2f5a36e337fff,6
8a2f5a36ad87fff,7
8a2f5a3614c7fff,7
8a2f5a34534ffff,7
8a2f5a36aa77fff,7
8a2f5a36ab67fff,7
8a2f5a341cb7fff,263
8a2f5a344a57fff,519
8a2f5a36aa67fff,8
8a2f5a36160ffff,8
8a2f5a36322ffff,8
8a2f5a363247fff,8
8a2f5a36e2a7fff,8
8a2f5a341aa7fff,264
8a2f5a34c6a7fff,9
8a2f5a34e977fff,9
8a2f5a3614dffff,9
8a2f5a34c0d7fff,9
8a2f5a345b77fff,9
8a2f5a341d27fff,9
8a2f5a34c68ffff,9
8a2f5a36a7a7fff,9
8a2f5a345b67fff,9
8a2f5a34c627fff,9
8a2f5a36a037fff,9
8a2f5a3634c7fff,265
8a2f5a3684a7fff,10
8a2f5a36358ffff,10
8a2f5a341a6ffff,10
8a2f5a34c01ffff,10
8a2f5a363067fff,10
8a2f5a36336ffff,10
8a2f5a363607fff,10
8a2f5a36aa47fff,10
8a2f5a36ab47fff,10
8a2f5a344977fff,10
8a2f5a34e8b7fff,266
8a2f5a3684e7fff,266
8a2f5a34086ffff,11
8a2f5a34c637fff,11
8a2f5a3617a7fff,11
8a2f5a36ec07fff,11
8a2f5a36ec77fff,11
8a2f5a36ad9ffff,11
8a2f5a3638cffff,11
8a2f5a363a27fff,11
8a2f5a36ed27fff,11
8a2f5a34c0dffff,11
8a2f5a34c80ffff,11
8a2f5a344b77fff,11
8a2f5a3638c7fff,11
8a2f5a36e2effff,267
8a2f5a34192ffff,523
8a2f5a36842ffff,12
8a2f5a36bc57fff,12
8a2f5a36a337fff,12
8a2f5a341ccffff,12
8a2f5a36e99ffff,12
8a2f5a34e867fff,12
8a2f5a34c55ffff,12
8a2f5a36bd77fff,12
8a2f5a36aa37fff,12
8a2f5a340377fff,12
8a2f5a36e137fff,12
8a2f5a34c81ffff,12
8a2f5a36e417fff,12
8a2f5a36364ffff,12
8a2f5a34c6affff,12
8a2f5a36bd6ffff,12
8a2f5a36a18ffff,12
8a2f5a36e06ffff,12
8a2f5a34c867fff,12
8a2f5a341677fff,12
8a2f5a34c0e7fff,12
8a2f5a344a8ffff,12
8a2f5a3686dffff,12
8a2f5a3616dffff,12
8a2f5a36e397fff,12
8a2f5a363747fff,12
8a2f5a36e65ffff,268
8a2f5a363baffff,13
8a2f5a3452a7fff,13
8a2f5a341c37fff,13
8a2f5a34530ffff,13
8a2f5a3412a7fff,13
8a2f5a341557fff,13
8a2f5a340a0ffff,13
8a2f5a363197fff,13
8a2f5a36e40ffff,13
8a2f5a34145ffff,13
8a2f5a36ec2ffff,13
8a2f5a363517fff,13
8a2f5a36352ffff,13
8a2f5a36840ffff,13
8a2f5a3412c7fff,13
8a2f5a36e0f7fff,13
8a2f5a36e307fff,13
