h3_10_id,cnt_uuid
8a2f5a36a82ffff,1
8a2f5a344a57fff,513
8a2f5a34e81ffff,2
8a2f5a36ead7fff,258
8a2f5a3684a7fff,3
8a2f5a345b77fff,3
8a2f5a34514ffff,3
8a2f5a3632f7fff,3
8a2f5a34425ffff,259
8a2f5a344057fff,259
8a2f5a36a837fff,515
8a2f5a36e337fff,4
8a2f5a36aa77fff,4
8a2f5a341827fff,516
8a2f5a34c197fff,5
8a2f5a341197fff,5
8a2f5a3617b7fff,5
8a2f5a363247fff,6
8a2f5a368697fff,6
8a2f5a34e977fff,6
8a2f5a36bc5ffff,6
8a2f5a36b457fff,6
8a2f5a36bd6ffff,6
8a2f5a36ab57fff,6
8a2f5a34c0e7fff,6
8a2f5a3410d7fff,262
8a2f5a36e5a7fff,7
8a2f5a34534ffff,7
8a2f5a341557fff,7
8a2f5a34c68ffff,7
8a2f5a34c01ffff,7
8a2f5a344257fff,263
8a2f5a341707fff,263
8a2f5a34cc9ffff,263
8a2f5a344b0ffff,8
8a2f5a34c0d7fff,8
8a2f5a36e417fff,8
8a2f5a3614effff,8
8a2f5a36a7a7fff,8
8a2f5a34c6a7fff,9
8a2f5a363607fff,9
8a2f5a36e89ffff,9
8a2f5a36364ffff,9
8a2f5a3614c7fff,9
8a2f5a36ab47fff,9
8a2f5a34195ffff,777
8a2f5a36bd77fff,10
8a2f5a36aa47fff,10
8a2f5a344977fff,10
8a2f5a36aa67fff,10
8a2f5a3686dffff,10
8a2f5a34c94ffff,10
8a2f5a341a6ffff,10
8a2f5a36e40ffff,10
8a2f5a340a0ffff,10
8a2f5a343b57fff,10
8a2f5a340377fff,10
8a2f5a36e307fff,10
8a2f5a363627fff,10
8a2f5a36a85ffff,10
8a2f5a34401ffff,266
8a2f5a36a897fff,266
8a2f5a34c497fff,11
8a2f5a36ec2ffff,11
8a2f5a36aa9ffff,11
8a2f5a345b47fff,11
8a2f5a34520ffff,11
8a2f5a341457fff,11
8a2f5a345b67fff,11
8a2f5a341c6ffff,11
8a2f5a36160ffff,11
8a2f5a36b5a7fff,11
8a2f5a36a417fff,11
8a2f5a341507fff,11
8a2f5a363747fff,11
8a2f5a34c6f7fff,11
8a2f5a363b17fff,11
8a2f5a343967fff,267
8a2f5a344237fff,1547
8a2f5a36e167fff,12
8a2f5a36358ffff,12
8a2f5a363777fff,12
8a2f5a3684affff,12
8a2f5a36a547fff,12
8a2f5a3614cffff,12
8a2f5a363baffff,12
8a2f5a36a06ffff,12
8a2f5a36ec27fff,12
8a2f5a36a857fff,12
8a2f5a36bd67fff,12
8a2f5a363067fff,12
8a2f5a36336ffff,12
8a2f5a363807fff,12
8a2f5a3638cffff,12
8a2f5a3614dffff,12
8a2f5a341287fff,12
8a2f5a36174ffff,268
8a2f5a344a5ffff,780
8a2f5a341957fff,2060
8a2f5a3616dffff,13
