h3_10_id,cnt_uuid
8a2f5a36e61ffff,272
8a2f5a34086ffff,17
8a2f5a341c07fff,17
8a2f5a361787fff,17
8a2f5a363b6ffff,17
8a2f5a36374ffff,17
8a2f5a36e50ffff,17
8a2f5a341a6ffff,17
8a2f5a34c55ffff,17
8a2f5a34c6e7fff,17
8a2f5a3633a7fff,17
8a2f5a34c947fff,17
8a2f5a34138ffff,17
8a2f5a36162ffff,17
8a2f5a36325ffff,17
8a2f5a34c7a7fff,17
8a2f5a3622dffff,17
8a2f5a36aa6ffff,17
8a2f5a36360ffff,17
8a2f5a36a347fff,17
8a2f5a36b477fff,17
8a2f5a36accffff,17
8a2f5a341127fff,17
8a2f5a363697fff,17
8a2f5a34c50ffff,17
8a2f5a34c52ffff,17
8a2f5a36ac5ffff,17
8a2f5a34e94ffff,17
8a2f5a361657fff,17
8a2f5a36e127fff,17
8a2f5a34c857fff,17
8a2f5a36a8effff,17
8a2f5a36a567fff,17
8a2f5a36a857fff,17
8a2f5a36a667fff,17
8a2f5a363617fff,17
8a2f5a36bce7fff,17
8a2f5a34c61ffff,17
8a2f5a363197fff,17
8a2f5a3412d7fff,17
8a2f5a36e54ffff,17
8a2f5a36e937fff,273
8a2f5a341adffff,273
8a2f5a344ab7fff,273
8a2f5a36bd97fff,529
8a2f5a36b5b7fff,18
8a2f5a36a84ffff,18
8a2f5a341ccffff,18
8a2f5a36a36ffff,18
8a2f5a3632a7fff,18
8a2f5a34112ffff,18
8a2f5a36bd67fff,18
8a2f5a363a1ffff,18
8a2f5a341c17fff,18
8a2f5a36a647fff,18
8a2f5a36385ffff,18
8a2f5a341a0ffff,18
8a2f5a36a337fff,18
8a2f5a36a747fff,18
8a2f5a34114ffff,18
8a2f5a34e90ffff,18
8a2f5a34e95ffff,18
8a2f5a34c637fff,18
8a2f5a34c0affff,18
8a2f5a363607fff,18
8a2f5a363b37fff,18
8a2f5a36ad1ffff,18
8a2f5a36a457fff,18
8a2f5a34c727fff,18
8a2f5a340a8ffff,18
8a2f5a36e5a7fff,18
8a2f5a36a7b7fff,18
8a2f5a36a0f7fff,18
8a2f5a36adaffff,18
8a2f5a341657fff,18
8a2f5a340257fff,18
8a2f5a34c6affff,18
8a2f5a36a34ffff,18
8a2f5a36ed57fff,18
8a2f5a36395ffff,18
8a2f5a36ab8ffff,18
8a2f5a36aa1ffff,18
8a2f5a363257fff,18
8a2f5a34142ffff,18
8a2f5a345af7fff,18
8a2f5a36b587fff,18
8a2f5a34c797fff,18
8a2f5a36e137fff,18
8a2f5a340367fff,18
8a2f5a36362ffff,18
8a2f5a36174ffff,274
8a2f5a34554ffff,530
8a2f5a36e09ffff,530
8a2f5a3632b7fff,19
8a2f5a363b1ffff,19
8a2f5a3634a7fff,19
8a2f5a34536ffff,19
8a2f5a36e4cffff,19
8a2f5a36a0d7fff,19
8a2f5a345907fff,19
8a2f5a341397fff,19
8a2f5a345977fff,19
8a2f5a363407fff,19
8a2f5a36a2f7fff,19
8a2f5a363657fff,19
8a2f5a36ac2ffff,19
8a2f5a36ad17fff,19
