h3_10_id,cnt_uuid
8a2f5a36ab67fff,1
8a2f5a34c0c7fff,1
8a2f5a36aa77fff,1
8a2f5a36a82ffff,1
8a2f5a363257fff,1
8a2f5a34c0f7fff,1
8a2f5a36322ffff,1
8a2f5a341d27fff,1
8a2f5a34c0e7fff,2
8a2f5a34c0dffff,2
8a2f5a36320ffff,2
8a2f5a34c197fff,2
8a2f5a34514ffff,2
8a2f5a34e8f7fff,2
8a2f5a3632f7fff,2
8a2f5a36325ffff,2
8a2f5a345b47fff,2
8a2f5a3630cffff,2
8a2f5a363237fff,3
8a2f5a36ad9ffff,3
8a2f5a34c7affff,3
8a2f5a36ed6ffff,3
8a2f5a341287fff,3
8a2f5a34534ffff,3
8a2f5a345b67fff,3
8a2f5a3412a7fff,3
8a2f5a36e397fff,3
8a2f5a36bd1ffff,3
8a2f5a34c0d7fff,3
8a2f5a3617b7fff,3
8a2f5a34c637fff,3
8a2f5a36321ffff,3
8a2f5a3630dffff,3
8a2f5a3684a7fff,4
8a2f5a34e977fff,4
8a2f5a363627fff,4
8a2f5a3617affff,4
8a2f5a34c6affff,4
8a2f5a36ab47fff,4
8a2f5a36b457fff,4
8a2f5a3614cffff,4
8a2f5a36aa67fff,4
8a2f5a36aa47fff,4
8a2f5a3412c7fff,4
8a2f5a3632e7fff,4
8a2f5a34c627fff,4
8a2f5a36e337fff,4
8a2f5a345b27fff,4
8a2f5a3630effff,4
8a2f5a3633affff,4
8a2f5a36362ffff,5
8a2f5a363757fff,5
8a2f5a36160ffff,5
8a2f5a34e957fff,5
8a2f5a344b77fff,5
8a2f5a3614c7fff,5
8a2f5a34c0affff,5
8a2f5a36352ffff,5
8a2f5a363267fff,5
8a2f5a36ec2ffff,5
8a2f5a34c68ffff,5
8a2f5a363607fff,5
8a2f5a36e0e7fff,5
8a2f5a34e807fff,5
8a2f5a36a297fff,5
8a2f5a36a18ffff,5
8a2f5a363b1ffff,6
8a2f5a36314ffff,6
8a2f5a36e99ffff,6
8a2f5a34119ffff,6
8a2f5a34c787fff,6
8a2f5a36e407fff,6
8a2f5a341197fff,6
8a2f5a363777fff,6
8a2f5a34c607fff,6
8a2f5a36336ffff,6
8a2f5a3630c7fff,6
8a2f5a363baffff,6
8a2f5a36e0effff,6
8a2f5a34c477fff,6
8a2f5a363207fff,6
8a2f5a344b67fff,6
8a2f5a345a0ffff,6
8a2f5a34c6f7fff,6
8a2f5a3410b7fff,6
8a2f5a34c40ffff,6
8a2f5a363287fff,6
8a2f5a368697fff,6
8a2f5a36e2a7fff,6
8a2f5a36bd67fff,6
8a2f5a36e417fff,6
8a2f5a363747fff,6
8a2f5a36bd77fff,6
8a2f5a36e067fff,6
8a2f5a3440effff,262
8a2f5a34396ffff,262
8a2f5a340377fff,7
8a2f5a341557fff,7
8a2f5a36aa6ffff,7
8a2f5a34c01ffff,7
8a2f5a344b0ffff,7
8a2f5a36e76ffff,7
8a2f5a343a6ffff,7
8a2f5a363697fff,7
8a2f5a36bc5ffff,7
8a2f5a34c60ffff,7
8a2f5a36364ffff,7
8a2f5a36a19ffff,7
8a2f5a3614effff,7
8a2f5a345b87fff,7
8a2f5a3412f7fff,7
8a2f5a3616effff,7
8a2f5a36a7a7fff,7
8a2f5a36b497fff,7
8a2f5a34145ffff,7
8a2f5a34c50ffff,7
8a2f5a34c72ffff,7
8a2f5a363b17fff,7
8a2f5a36a36ffff,7
8a2f5a36bd6ffff,7
8a2f5a3616e7fff,7
8a2f5a36339ffff,7
8a2f5a34c61ffff,7
8a2f5a36ad97fff,7
8a2f5a36315ffff,7
8a2f5a36394ffff,7
8a2f5a36366ffff,7
8a2f5a36376ffff,7
8a2f5a36e057fff,7
8a2f5a3617a7fff,7
8a2f5a36e767fff,8
8a2f5a36a74ffff,8
8a2f5a341a37fff,8
8a2f5a36e5b7fff,8
8a2f5a36e40ffff,8
8a2f5a363557fff,8
8a2f5a36e2b7fff,8
8a2f5a3412d7fff,8
8a2f5a34c08ffff,8
8a2f5a343b0ffff,8
8a2f5a36e307fff,8
8a2f5a36a417fff,8
8a2f5a34c737fff,8
8a2f5a36a8effff,8
8a2f5a36e077fff,8
8a2f5a363767fff,8
8a2f5a341c37fff,8
8a2f5a361677fff,8
8a2f5a36ed27fff,8
8a2f5a36ab6ffff,8
8a2f5a345a87fff,8
8a2f5a34525ffff,8
8a2f5a36842ffff,8
8a2f5a34c7b7fff,8
8a2f5a3412b7fff,8
8a2f5a36ec77fff,8
8a2f5a341397fff,8
8a2f5a36e487fff,8
8a2f5a34e867fff,8
8a2f5a343baffff,8
8a2f5a34c6a7fff,8
8a2f5a36a447fff,8
8a2f5a34e827fff,8
8a2f5a36a037fff,8
8a2f5a3686dffff,8
8a2f5a36e1b7fff,9
8a2f5a36a0a7fff,9
8a2f5a36ada7fff,9
8a2f5a3638c7fff,9
8a2f5a34086ffff,9
8a2f5a3632b7fff,9
8a2f5a341ac7fff,9
8a2f5a341a1ffff,9
8a2f5a345b6ffff,9
8a2f5a341d2ffff,9
8a2f5a36ec57fff,9
8a2f5a34176ffff,9
8a2f5a345a5ffff,9
8a2f5a345b37fff,9
8a2f5a34c727fff,9
8a2f5a36e667fff,9
8a2f5a3616d7fff,9
8a2f5a3616b7fff,9
8a2f5a36375ffff,9
8a2f5a34c547fff,9
8a2f5a36eb97fff,9
8a2f5a345267fff,9
8a2f5a36e9b7fff,9
8a2f5a36a61ffff,9
8a2f5a3638cffff,9
8a2f5a34e94ffff,9
8a2f5a341a6ffff,9
8a2f5a36a577fff,9
8a2f5a34c487fff,9
8a2f5a36ab77fff,9
8a2f5a36a45ffff,9
8a2f5a36374ffff,9
8a2f5a34c71ffff,9
8a2f5a3632a7fff,9
8a2f5a345827fff,9
