h3_10_id,cnt_uuid
8a2f5a368ce7fff,256
8a2f5a34c7affff,1
8a2f5a34c0f7fff,1
8a2f5a36ab57fff,1
8a2f5a3632e7fff,1
8a2f5a36e91ffff,513
8a2f5a36ab5ffff,2
8a2f5a345a17fff,2
8a2f5a345b27fff,2
8a2f5a36a82ffff,2
8a2f5a363237fff,2
8a2f5a3632f7fff,2
8a2f5a34c637fff,2
8a2f5a363247fff,3
8a2f5a36325ffff,3
8a2f5a34c607fff,3
8a2f5a36e2effff,259
8a2f5a34c627fff,4
8a2f5a3630cffff,4
8a2f5a363207fff,4
8a2f5a34514ffff,4
8a2f5a36a297fff,4
8a2f5a36322ffff,4
8a2f5a345b67fff,4
8a2f5a345b77fff,4
8a2f5a34c0d7fff,4
8a2f5a34ed1ffff,260
8a2f5a345187fff,260
8a2f5a34e81ffff,5
8a2f5a36b457fff,5
8a2f5a363757fff,5
8a2f5a34c787fff,5
8a2f5a36e287fff,5
8a2f5a36375ffff,5
8a2f5a34c737fff,5
8a2f5a3616effff,5
8a2f5a3632b7fff,5
8a2f5a36bc5ffff,6
8a2f5a36aa67fff,6
8a2f5a344b0ffff,6
8a2f5a345a0ffff,6
8a2f5a36ab67fff,6
8a2f5a34c09ffff,6
8a2f5a3616e7fff,6
8a2f5a3412a7fff,6
8a2f5a36e59ffff,6
8a2f5a36a85ffff,6
8a2f5a363baffff,6
8a2f5a34c0dffff,6
8a2f5a34c0c7fff,6
8a2f5a34c0e7fff,6
8a2f5a341d27fff,6
8a2f5a341aa7fff,262
8a2f5a36ec8ffff,262
8a2f5a34584ffff,7
8a2f5a36e4a7fff,7
8a2f5a34c477fff,7
8a2f5a36ad87fff,7
8a2f5a36e397fff,7
8a2f5a344b77fff,7
8a2f5a34c6affff,7
8a2f5a34c197fff,7
8a2f5a341287fff,7
8a2f5a36ab6ffff,7
8a2f5a341197fff,7
8a2f5a36e76ffff,7
8a2f5a36ed6ffff,7
8a2f5a34c72ffff,7
8a2f5a3638c7fff,7
8a2f5a345b47fff,7
8a2f5a36e307fff,7
8a2f5a36e9b7fff,7
8a2f5a34c68ffff,7
8a2f5a36339ffff,7
8a2f5a363627fff,7
8a2f5a3632effff,7
8a2f5a3631b7fff,263
8a2f5a36aa47fff,8
8a2f5a36160ffff,8
8a2f5a343a6ffff,8
8a2f5a36ec2ffff,8
8a2f5a36aa77fff,8
8a2f5a34c7a7fff,8
8a2f5a34e977fff,8
8a2f5a36a0dffff,8
8a2f5a368697fff,8
8a2f5a3632cffff,8
8a2f5a36321ffff,8
8a2f5a36e39ffff,8
8a2f5a36e337fff,8
8a2f5a363747fff,8
8a2f5a3630effff,8
8a2f5a345a07fff,8
8a2f5a36e58ffff,8
8a2f5a344ab7fff,264
8a2f5a341bb7fff,520
8a2f5a34c71ffff,9
8a2f5a34c61ffff,9
8a2f5a34086ffff,9
8a2f5a363267fff,9
8a2f5a36358ffff,9
8a2f5a363777fff,9
8a2f5a36320ffff,9
8a2f5a363197fff,9
8a2f5a345b8ffff,9
8a2f5a34534ffff,9
8a2f5a36362ffff,9
8a2f5a363277fff,9
8a2f5a3638cffff,9
8a2f5a36366ffff,9
8a2f5a34c867fff,9
8a2f5a36e417fff,9
8a2f5a34c0affff,9
8a2f5a36372ffff,9
8a2f5a36ad9ffff,9
8a2f5a36ab47fff,9
8a2f5a345b37fff,9
8a2f5a344a8ffff,9
8a2f5a34c01ffff,9
8a2f5a36b537fff,9
8a2f5a36e99ffff,9
8a2f5a344a0ffff,265
8a2f5a34184ffff,265
8a2f5a36a857fff,10
8a2f5a36e067fff,10
8a2f5a34520ffff,10
8a2f5a36e317fff,10
8a2f5a345bb7fff,10
8a2f5a34e957fff,10
8a2f5a36e40ffff,10
8a2f5a36e11ffff,10
8a2f5a3614effff,10
8a2f5a340377fff,10
8a2f5a3412f7fff,10
8a2f5a34c687fff,10
8a2f5a3630dffff,10
8a2f5a363287fff,10
8a2f5a36a22ffff,10
8a2f5a36e06ffff,10
8a2f5a363a37fff,10
8a2f5a36bd6ffff,10
8a2f5a36e167fff,10
8a2f5a36374ffff,10
8a2f5a363c57fff,266
8a2f5a36e38ffff,11
8a2f5a341a1ffff,11
8a2f5a341c6ffff,11
8a2f5a34c7b7fff,11
8a2f5a34538ffff,11
8a2f5a363517fff,11
8a2f5a36e0f7fff,11
8a2f5a3617a7fff,11
8a2f5a36a7a7fff,11
8a2f5a36ec6ffff,11
8a2f5a345c8ffff,11
8a2f5a3632a7fff,11
8a2f5a36e2a7fff,11
8a2f5a345a1ffff,11
8a2f5a36314ffff,11
8a2f5a34c6f7fff,11
8a2f5a34c40ffff,11
8a2f5a3633a7fff,11
8a2f5a36bc27fff,11
8a2f5a36364ffff,11
8a2f5a345b07fff,11
8a2f5a36e4affff,11
8a2f5a34c78ffff,11
8a2f5a3410b7fff,11
8a2f5a36ad97fff,11
8a2f5a36e057fff,11
8a2f5a363607fff,11
8a2f5a3617affff,11
8a2f5a3616d7fff,11
8a2f5a3455a7fff,267
8a2f5a34c727fff,12
8a2f5a36bc57fff,12
8a2f5a36e487fff,12
8a2f5a34c79ffff,12
8a2f5a345697fff,12
8a2f5a341c47fff,12
8a2f5a3614dffff,12
8a2f5a36338ffff,12
8a2f5a36e587fff,12
8a2f5a34c55ffff,12
8a2f5a36a847fff,12
8a2f5a36852ffff,12
8a2f5a345827fff,12
8a2f5a345aa7fff,12
8a2f5a34e827fff,12
8a2f5a36e2b7fff,12
8a2f5a3616cffff,12
8a2f5a34c547fff,12
8a2f5a36a397fff,12
8a2f5a34c6a7fff,12
8a2f5a34c60ffff,12
8a2f5a36ecb7fff,12
8a2f5a36adaffff,12
8a2f5a36e077fff,12
8a2f5a363697fff,12
8a2f5a36bd77fff,12
8a2f5a36e49ffff,12
8a2f5a345837fff,12
8a2f5a3633affff,12
8a2f5a36bce7fff,12
8a2f5a3452a7fff,12
8a2f5a36a187fff,12
8a2f5a36a44ffff,12
8a2f5a341adffff,268
8a2f5a345867fff,13
8a2f5a34c497fff,13
8a2f5a341a37fff,13
8a2f5a344b67fff,13
8a2f5a36e5b7fff,13
8a2f5a36e0cffff,13
8a2f5a36315ffff,13
8a2f5a363ad7fff,13
8a2f5a341317fff,13
8a2f5a34525ffff,13
8a2f5a36a01ffff,13
8a2f5a36a4effff,13
8a2f5a34c487fff,13
8a2f5a34c4d7fff,13
8a2f5a36ed47fff,13
8a2f5a3632c7fff,13
8a2f5a36ec27fff,13
8a2f5a345ac7fff,13
8a2f5a343baffff,13
8a2f5a36a2f7fff,13
8a2f5a34c567fff,13
8a2f5a36a257fff,13
8a2f5a3458cffff,13
8a2f5a36b5affff,13
8a2f5a36e107fff,13
8a2f5a36b507fff,13
8a2f5a34c08ffff,13
8a2f5a3453a7fff,13
8a2f5a3414effff,13
8a2f5a36e0effff,13
8a2f5a341c9ffff,13
8a2f5a34c617fff,13
8a2f5a36e15ffff,13
8a2f5a36e48ffff,13
8a2f5a34e94ffff,13
8a2f5a36ec77fff,13
8a2f5a36340ffff,269
8a2f5a341597fff,269
8a2f5a34112ffff,14
8a2f5a36a347fff,14
8a2f5a36e0e7fff,14
8a2f5a36b587fff,14
8a2f5a345b4ffff,14
8a2f5a36a447fff,14
8a2f5a34c81ffff,14
8a2f5a34e8f7fff,14
8a2f5a363677fff,14
8a2f5a3634a7fff,14
8a2f5a36ed27fff,14
8a2f5a3417b7fff,14
8a2f5a361657fff,14
8a2f5a36a76ffff,14
8a2f5a36e137fff,14
8a2f5a34572ffff,14
8a2f5a36e537fff,14
8a2f5a36aca7fff,14
8a2f5a36a06ffff,14
8a2f5a345aaffff,14
8a2f5a36a4cffff,14
8a2f5a36a547fff,14
8a2f5a34c797fff,14
8a2f5a34c6e7fff,14
8a2f5a341c4ffff,14
8a2f5a36b5a7fff,14
8a2f5a36352ffff,14
8a2f5a34164ffff,14
8a2f5a36aa6ffff,14
8a2f5a34539ffff,14
8a2f5a363667fff,14
8a2f5a36e00ffff,14
8a2f5a341c57fff,14
8a2f5a340b4ffff,14
8a2f5a34ed37fff,14
8a2f5a363a97fff,14
8a2f5a345b87fff,14
8a2f5a36e597fff,14
8a2f5a36ada7fff,14
8a2f5a3451a7fff,270
8a2f5a34540ffff,270
8a2f5a363917fff,270
8a2f5a3440dffff,270
8a2f5a363a47fff,782
8a2f5a3634dffff,15
8a2f5a34c757fff,15
8a2f5a34586ffff,15
8a2f5a3616b7fff,15
8a2f5a341567fff,15
8a2f5a34cceffff,15
8a2f5a36ec4ffff,15
8a2f5a345277fff,15
8a2f5a341457fff,15
8a2f5a36e89ffff,15
8a2f5a36a6a7fff,15
8a2f5a345357fff,15
8a2f5a36a45ffff,15
8a2f5a36a337fff,15
8a2f5a36a56ffff,15
8a2f5a36a7b7fff,15
8a2f5a36a457fff,15
8a2f5a36aa9ffff,15
8a2f5a36b50ffff,15
8a2f5a3410a7fff,15
8a2f5a36ab8ffff,15
8a2f5a36e04ffff,15
8a2f5a36e3affff,15
8a2f5a341caffff,15
8a2f5a36a117fff,15
8a2f5a36e8dffff,15
8a2f5a36e047fff,15
8a2f5a34c657fff,15
8a2f5a36e497fff,15
8a2f5a363067fff,15
8a2f5a340b97fff,15
8a2f5a363617fff,15
8a2f5a345aeffff,15
8a2f5a36e437fff,15
8a2f5a36e7b7fff,15
8a2f5a36e4e7fff,15
8a2f5a341557fff,15
8a2f5a36ed37fff,15
8a2f5a3614c7fff,15
8a2f5a34eb6ffff,15
8a2f5a340a8ffff,15
8a2f5a344357fff,271
8a2f5a34cce7fff,16
8a2f5a34c62ffff,16
8a2f5a34404ffff,16
8a2f5a363417fff,16
8a2f5a3412c7fff,16
8a2f5a36ec47fff,16
8a2f5a36ed2ffff,16
8a2f5a36162ffff,16
8a2f5a34111ffff,16
8a2f5a345a87fff,16
8a2f5a3456d7fff,16
8a2f5a36e387fff,16
8a2f5a345497fff,16
8a2f5a3614cffff,16
8a2f5a3453affff,16
8a2f5a341a6ffff,16
8a2f5a344a87fff,16
8a2f5a36e207fff,16
8a2f5a36e767fff,16
8a2f5a34110ffff,16
8a2f5a34cdaffff,16
8a2f5a36a6e7fff,16
8a2f5a361787fff,16
8a2f5a36a4e7fff,16
8a2f5a34c107fff,16
8a2f5a36e5a7fff,16
8a2f5a345acffff,16
8a2f5a36840ffff,16
8a2f5a363b17fff,16
8a2f5a34c677fff,16
8a2f5a345a5ffff,16
8a2f5a340357fff,16
8a2f5a34119ffff,16
8a2f5a36e527fff,16
8a2f5a3412d7fff,16
8a2f5a34c087fff,16
8a2f5a36bc97fff,16
8a2f5a340347fff,16
8a2f5a345b97fff,16
8a2f5a341677fff,16
8a2f5a3456b7fff,16
8a2f5a34536ffff,16
8a2f5a36e187fff,16
8a2f5a36336ffff,16
8a2f5a345197fff,272
8a2f5a345a57fff,17
8a2f5a36ac5ffff,17
8a2f5a345377fff,17
8a2f5a34c097fff,17
8a2f5a36ec0ffff,17
8a2f5a363167fff,17
8a2f5a36ed07fff,17
8a2f5a341607fff,17
8a2f5a345b6ffff,17
8a2f5a3412b7fff,17
8a2f5a341daffff,17
8a2f5a36ec07fff,17
8a2f5a363147fff,17
8a2f5a363657fff,17
8a2f5a36eb97fff,17
8a2f5a36ad8ffff,17
8a2f5a345a4ffff,17
8a2f5a36178ffff,17
8a2f5a345347fff,17
8a2f5a345cd7fff,17
8a2f5a36e887fff,17
8a2f5a36395ffff,17
8a2f5a3412effff,17
8a2f5a36bd1ffff,17
8a2f5a341477fff,17
8a2f5a341c37fff,17
8a2f5a36e12ffff,17
8a2f5a345317fff,17
8a2f5a3630c7fff,17
8a2f5a36a747fff,17
8a2f5a34176ffff,17
8a2f5a34e867fff,17
8a2f5a3632d7fff,17
8a2f5a3632dffff,17
8a2f5a341627fff,17
8a2f5a36376ffff,17
8a2f5a343b57fff,17
8a2f5a341a0ffff,17
8a2f5a36a8d7fff,17
8a2f5a36a637fff,17
8a2f5a34e86ffff,17
8a2f5a36a2b7fff,17
8a2f5a36e4f7fff,17
8a2f5a3411a7fff,17
8a2f5a36bd87fff,273
8a2f5a36ecc7fff,273
8a2f5a36e20ffff,18
8a2f5a34c947fff,18
8a2f5a3458affff,18
8a2f5a341c17fff,18
8a2f5a36a25ffff,18
8a2f5a340277fff,18
8a2f5a34ed27fff,18
8a2f5a368577fff,18
8a2f5a341507fff,18
8a2f5a36a0c7fff,18
8a2f5a345cf7fff,18
8a2f5a34c94ffff,18
8a2f5a36e4d7fff,18
8a2f5a363857fff,18
8a2f5a34c46ffff,18
8a2f5a36ac87fff,18
8a2f5a36161ffff,18
8a2f5a34e95ffff,18
8a2f5a36e627fff,18
8a2f5a36a0f7fff,18
8a2f5a36a227fff,18
8a2f5a36389ffff,18
8a2f5a36e037fff,18
8a2f5a36ab77fff,18
8a2f5a363b47fff,18
8a2f5a36e8f7fff,18
8a2f5a3411affff,18
8a2f5a345267fff,18
8a2f5a34cd97fff,18
8a2f5a36ed57fff,18
8a2f5a3616dffff,18
8a2f5a34cc5ffff,18
8a2f5a3638dffff,18
8a2f5a344977fff,18
8a2f5a36ac4ffff,18
8a2f5a345967fff,18
8a2f5a34c827fff,18
8a2f5a341a4ffff,18
8a2f5a363767fff,18
8a2f5a34535ffff,18
8a2f5a34c697fff,18
8a2f5a34c49ffff,18
